Country Name,Country Name,Country Code,Government Type,Capital City,Date of Founding/Independence,Latitude of Capital,Longitude of Capital,Telephones - fixed lines,Telephones - mobile cellular,Internet users,Broadband - fixed subscriptions,GDP (purchasing power parity),GDP - real growth rate,GDP - per capita (PPP),Gross national saving,Industrial production growth rate,Labor force,Unemployment rate,Distribution of family income - Gini index,Taxes and other revenues,Budget surplus (+) or deficit (-),Public debt,Inflation rate (consumer prices),Central bank discount rate,Commercial bank prime lending rate,Stock of narrow money,Stock of broad money,Stock of domestic credit,Market value of publicly traded shares,Current account balance,Exports,Imports,Reserves of foreign exchange and gold,Debt - external,Stock of direct foreign investment - at home,Stock of direct foreign investment - abroad,Electricity - production,Electricity - consumption,Electricity - exports,Electricity - imports,Electricity - installed generating capacity,Electricity - from fossil fuels,Electricity - from nuclear fuels,Electricity - from hydroelectric plants,Electricity - from other renewable sources,Crude oil - production,Crude oil - exports,Crude oil - imports,Crude oil - proved reserves,Refined petroleum products - production,Refined petroleum products - consumption,Refined petroleum products - exports,Refined petroleum products - imports,Natural gas - production,Natural gas - consumption,Natural gas - exports,Natural gas - imports,Natural gas - proved reserves,Carbon dioxide emissions from consumption of energy,Area,Military expenditures,Population,Median age,Population growth rate,Birth rate,Death rate,Net migration rate,Maternal mortality rate,Infant mortality rate,Life expectancy at birth,Total fertility rate,Obesity - adult prevalence rate,Children under the age of 5 years underweight,Education expenditures,"Unemployment, youth ages 15-24",Airports,Railways,Roadways,Merchant marine
Afghanistan,Afghanistan,AF,Islamic republic,Kabul,8/19/1919,34 31 N,69 11 E,"118,769","23,929,713",unknown,"16,810","$69,450,000,000 ",2.7,"$2,000 ",22.7,-1.9,"8,478,000",23.9,29.4,11.2,-15.1,7,5,unknown,15,"$6,644,000,000 ","$6,945,000,000 ","($240,600,000)",unknown,"$1,014,000,000 ","$784,000,000 ","$7,616,000,000 ","$7,187,000,000 ","$2,840,000,000 ",unknown,unknown,"1,211,000,000","5,526,000,000",0,"4,400,000,000","634,100.00",45,0,52,4,0,0,0,0,0,"35,000",0,"34,210","164,200,000","164,200,000",0,0,"49,550,000,000","9,067,000.00","652,230.00",0.99,"34,940,837",19,2.37,37.5,13.2,-0.6,638,108.5,52.1,5.02,5.5,25,4.1,17.6,43,unknown,"34,903",unknown
Albania,Albania,AL,parliamentary democracy,Tirana,11/28/1912,41 19 N,19 49 E,"247,010","3,497,950","2,016,516","293,623","$36,010,000,000 ",3.8,"$12,500 ",15.9,6.8,"1,198,000",13.8,29,27.6,-2,71.8,2,1.25,8.22,"$4,155,000,000 ","$4,155,000,000 ","$8,122,000,000 ",unknown,"($908,000,000)","$900,700,000 ","$4,103,000,000 ","$3,590,000,000 ","$9,505,000,000 ","$6,120,000,000 ",unknown,"7,138,000,000","5,110,000,000","1,869,000,000","1,827,000,000","2,109,000.00",5,0,95,0,"14,000","17,290",0,"168,300,000","5,638","29,000","3,250","26,660","50,970,000","50,970,000",0,0,"821,200,000","4,500,000.00","28,748.00",1.26,"3,057,220",33.4,0.3,13.2,6.9,-3.3,15,11.6,78.6,1.52,21.7,1.5,4,31.9,4,677,"3,945",60
Algeria,Algeria,DZ,republic,Algiers,7/5/1962,36 45 N,3 03 E,"3,130,090","49,873,389","17,291,463","3,166,907","$630,000,000,000 ",1.4,"$15,200 ",37.8,0.6,"11,820,000",11.7,35.3,32.3,-9.6,27.5,5.6,4,8,"$84,560,000,000 ","$84,560,000,000 ","$110,200,000,000 ",unknown,"($22,100,000,000)","$34,370,000,000 ","$48,540,000,000 ","$97,890,000,000 ","$6,260,000,000 ","$29,050,000,000 ","$1,893,000,000 ","66,890,000,000","55,960,000,000","641,000,000","257,000,000","19,270,000.00",96,0,1,2,"1,259,000","756,400","5,340","12,200,000,000","627,900","405,000","578,800","82,930","93,500,000,000","41,280,000,000","53,880,000,000",0,"4,504,000,000,000","135,900,000.00","2,381,740.00",5.27,"41,657,488",28.3,1.63,21.5,4.3,-0.9,112,18.9,77.2,2.66,27.4,3,unknown,25.7,157,"3,973","104,000",106
Andorra,Andorra,AD,parliamentary democracy,Andorra la Vella,1278,42 30 N,1 31 E,"38,411","80,337","83,887","34,284","$3,327,000,000 ",-1.1,"$49,900 ",unknown,unknown,"39,750",3.7,unknown,69,-6.9,41,-0.9,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"$78,710,000 ","$1,257,000,000 ",unknown,$0 ,unknown,unknown,"99,480,000","221,600,000","6,000","471,300,000","520,000.00",61,0,23,15,0,0,0,0,0,unknown,unknown,unknown,0,0,0,0,0,unknown,468,unknown,"85,708",44.9,-0.01,7.3,7.4,0,unknown,3.6,82.9,1.41,25.6,unknown,3.2,unknown,unknown,unknown,320,unknown
Angola,Angola,AO,republic,Luanda,11/11/1975,8 50 S,13 13 E,"161,070","13,323,952","2,622,403","96,919","$193,600,000,000 ",-2.5,"$6,800 ",28.6,2.5,"12,510,000",6.6,42.7,29.3,-6.7,65,29.8,9,15.82,"$32,390,000,000 ","$32,390,000,000 ","$16,020,000,000 ",unknown,"($1,254,000,000)","$33,070,000,000 ","$19,500,000,000 ","$17,290,000,000 ","$42,080,000,000 ","$11,210,000,000 ","$28,000,000,000 ","10,200,000,000","9,036,000,000",0,0,"2,613,000.00",34,0,64,2,"1,593,000","1,782,000",0,"9,523,000,000","53,480","130,000","30,340","111,600","3,115,000,000","821,200,000","3,993,000,000",0,"308,100,000,000","20,950,000.00","1,246,700.00",1.78,"30,355,880",15.9,3.49,43.7,9,0.1,241,65.8,60.6,6.09,8.2,19,3.4,39.4,176,"2,852","26,000",55
Antigua and Barbuda,Antigua and Barbuda,AG,constitutional monarchy,Saint John's,11/1/1981,17 07 N,61 51 W,"22,504","180,000","60,000","9,261","$2,398,000,000 ",2.8,"$26,400 ",17.3,6.8,"30,000",11,unknown,19.6,-2.4,86.8,2.5,6.5,9.31,"$349,200,000 ","$349,200,000 ","$909,600,000 ",unknown,"($112,000,000)","$86,700,000 ","$560,000,000 ",unknown,"$441,200,000 ",unknown,unknown,"331,000,000","307,800,000",0,0,"124,000.00",97,0,0,3,0,0,0,0,0,"5,000",91,"5,065",0,0,0,0,0,"740,300.00",442.6,unknown,"95,882",32.2,1.2,15.6,5.8,2.1,unknown,11.7,76.9,1.99,18.9,unknown,2.5,unknown,3,unknown,"1,170",853
Argentina,Argentina,AR,republic,Buenos Aires,7/9/1816,34 35 S,58 40 W,"9,530,349","61,897,379","30,786,889","7,870,222","$922,100,000,000 ",2.9,"$20,900 ",17.6,2.7,"18,000,000",8.4,41.7,18.9,-6,57.6,25.7,unknown,26.58,"$62,610,000,000 ","$62,610,000,000 ","$219,400,000,000 ","$56,130,000,000 ","($31,320,000,000)","$58,450,000,000 ","$63,970,000,000 ","$55,330,000,000 ","$214,900,000,000 ","$76,580,000,000 ","$40,940,000,000 ","131,900,000,000","121,000,000,000","55,000,000","9,851,000,000","38,350,000.00",69,4,24,3,"489,000","36,630","16,740","2,162,000,000","669,800","806,000","58,360","121,400","40,920,000,000","49,040,000,000","76,450,000","9,826,000,000","336,600,000,000","203,700,000.00","2,780,400.00",0.86,"44,694,198",31.9,0.89,16.5,7.5,-0.1,39,9.5,77.5,2.25,28.3,unknown,5.5,22.6,"1,138","36,917","281,290",167
Armenia,Armenia,AM,republic,Yerevan,9/21/1991,40 10 N,44 30 E,"505,190","3,488,524","1,891,775","315,319","$28,340,000,000 ",7.5,"$9,500 ",17.8,5.4,"1,507,000",18.9,31.5,22.9,-4.8,53.5,0.9,6.5,14.41,"$1,629,000,000 ","$1,629,000,000 ","$6,712,000,000 ","$132,100,000 ","($328,000,000)","$2,361,000,000 ","$3,771,000,000 ","$2,314,000,000 ","$10,410,000,000 ","$4,169,000,000 ","$228,000,000 ","6,951,000,000","5,291,000,000","1,424,000,000","275,000,000","4,080,000.00",58,9,32,0,0,0,0,0,0,"8,000",0,"7,145",0,"2,350,000,000",0,"2,350,000,000",0,"5,501,000.00","29,743.00",4.25,"3,038,217",35.6,-0.25,12.6,9.5,-5.6,26,12.3,75.1,1.64,20.2,2.6,2.7,36.3,11,780,"7,700",unknown
Australia,Australia,AU,federal parliamentary democracy,Canberra,1/1/1901,35 16 S,149 08 E,"8,460,000","27,553,000","20,288,409","7,923,000","$1,248,000,000,000 ",2.2,"$50,400 ",21,1.4,"12,910,000",5.6,30.3,35.5,-0.5,40.8,2,3,5.24,"$277,700,000,000 ","$277,700,000,000 ","$2,384,000,000,000 ","$1,187,000,000,000 ","($36,010,000,000)","$231,600,000,000 ","$221,000,000,000 ","$66,580,000,000 ","$1,714,000,000,000 ","$700,600,000,000 ","$509,700,000,000 ","243,000,000,000","229,400,000,000",0,0,"65,560,000.00",72,0,11,17,"284,000","192,500","341,700","1,821,000,000","462,500","1,175,000","64,120","619,600","105,200,000,000","45,250,000,000","67,960,000,000","5,776,000,000","1,989,000,000,000","439,100,000.00","7,741,220.00",1.89,"23,470,145",38.8,1.01,12,7.3,5.4,6,4.2,82.4,1.77,29,unknown,5.3,12.6,480,"33,343","873,573",563
Austria,Austria,AT,federal republic,Vienna,11/12/1918,48 12 N,16 22 E,"3,762,801","14,924,340","7,346,055","2,511,200","$441,000,000,000 ",3,"$50,000 ",27,6.5,"4,260,000",5.5,30.5,48.3,-0.7,78.6,2.2,0,1.57,"$271,400,000,000 ","$271,400,000,000 ","$555,400,000,000 ","$96,080,000,000 ","$7,859,000,000 ","$156,700,000,000 ","$158,100,000,000 ","$21,570,000,000 ","$630,800,000,000 ","$294,100,000,000 ","$339,700,000,000 ","60,780,000,000","64,600,000,000","19,210,000,000","26,370,000,000","24,790,000.00",25,0,43,31,"13,000",0,"146,600","41,200,000","186,500","268,000","49,960","135,500","1,274,000,000","9,486,000,000","5,437,000,000","14,020,000,000","6,513,000,000","63,930,000.00","83,871.00",0.58,"8,793,370",44.2,0.42,9.5,9.7,4.4,5,3.4,81.7,1.48,20.1,unknown,5.5,9.8,52,"5,800","137,039",unknown
