Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,,,,,
Aruba,ABW,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,47.11599293,46.89181423,47.9771819,47.89745154,47.89864525,48.47409992,48.27521845,48.92808207,48.93011269,49.73754706,51.34257943,52.57811841,52.26371753,52.92614236,52.20159518,52.19017859,52.90092884,52.59569061,50.54489838,50.07072273,50.49355346,47.96650668,49.28068471,48.8116183,49.4445246,48.65646674,48.60843976,47.73347751,47.92847167,46.94725174,47.43574595,46.19521812,47.27177854,48.86205833,48.60696669,48.24439321,49.55117156,50.8885624,49.88287297,49.03532859,48.30386239,47.57241299,46.89518023,49.30429209,,,,,,
Afghanistan,AFG,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,11.098345,11.89893843,13.7636066,14.22700907,14.95450904,16.19281624,18.1516807,19.77178864,19.87621092,20.85162414,21.99186138,23.18088837,22.63397854,21.1920063,21.30072102,20.40763249,21.05506734,20.64604129,21.12918179,20.73615135,21.59448259,22.46633088,21.97567824,18.63309325,18.59759806,20.02825379,20.41243335,19.51588133,20.49925163,20.85686294,21.99654048,22.23309518,23.28590336,22.57797875,22.67614909,21.33475188,20.67407703,21.40878212,19.98877361,21.9468786,22.61050613,23.05394242,23.08163489,23.47127803,,2016,2017,2018,2019,2020
Angola,AGO,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,15.83419637,21.26080568,20.10694102,20.92610423,17.82626379,16.82224471,14.22482628,20.38402901,19.95565663,19.96306424,19.15939481,16.61654958,17.62340548,17.06524881,20.30757411,19.89128882,20.38423602,22.0179649,22.10325106,25.48038842,25.48286109,24.09807593,24.96466182,24.43968302,22.78019633,23.49809695,23.87447372,22.12486544,24.71441292,25.22005192,26.67929998,28.14780415,31.72142412,31.56163719,27.08377147,31.67467436,34.74247582,37.96075957,41.79933124,42.99251503,43.8497839,48.01005977,46.50855392,48.30559301,,,,,,
Albania,ALB,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,74.66070329,77.17411066,74.36663392,75.39746305,75.74642476,76.19391974,75.88187791,78.02470364,75.01181305,80.92879279,78.03791049,77.83653444,78.87594412,81.09747747,81.43376238,77.05831274,78.63751137,80.38140353,79.69381231,76.59397508,69.82499607,56.07929065,53.47897796,54.8469148,49.54164119,45.45376374,41.44934024,45.2948183,58.23879385,58.71509801,60.95582784,63.23313038,64.52837122,65.57827326,66.48668055,64.4559899,65.12239247,63.84717579,63.4217264,63.23900375,61.50276527,57.75408172,56.39533881,61.42180139,,,,,,
Andorra,AND,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,82.24651922,83.05676982,84.6192628,85.51937007,85.79917066,86.85521858,87.51701231,88.77404858,90.28759986,91.3723233,91.57370409,92.24483063,93.26320586,93.38499004,92.87900068,93.41555509,93.67183336,94.28902492,94.40860245,93.85562463,92.74238734,94.14939376,94.46996178,94.15898926,94.87096635,94.8639233,95.00692383,94.85585825,94.64784845,94.99382528,95.19902384,94.78076732,95.19202299,95.19132121,95.17014527,95.44927661,96.12584384,96.46673111,96.21598654,95.89111881,94.96438725,95.01932949,96.22709585,95.47834279,,,,,,
United Arab Emirates,ARE,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,100,100,100,100,100,100,100,100,99.99998204,99.99998617,,,99.99998926,99.99999172,,100,100,100,100,100,,99.85522171,99.88737141,99.90964437,99.91496754,99.93960629,99.94282166,99.94641398,99.94752516,99.9463267,99.95791015,99.95756782,99.95686804,99.94023556,99.93717685,99.92993397,99.92517547,99.92683097,,,91.67558547,90.10453743,93.6148829,86.12834902,,,,,,
Argentina,ARG,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,92.88439654,93.26555091,93.37349899,91.5377905,91.64855828,92.13088872,92.3762473,90.95194133,91.36611181,90.27525879,90.01718166,90.44518435,89.16188634,88.45826409,87.15639951,88.45046972,88.16165855,90.18100613,91.37925099,88.65260513,88.85473896,88.80594542,87.68722886,87.00193544,87.09209567,87.69628353,86.89501343,86.78511763,88.27912241,88.38751029,85.99454411,85.80340795,86.01471381,89.32496763,89.05328415,88.65322796,89.22537849,90.65178935,89.61199315,89.50324321,88.85381112,89.02490707,88.96606441,87.72240748,,,,,,
